Country,Item,Year,Value
Honduras,Vegetables,1973,18.47
Honduras,Vegetables,1978,20.4
Honduras,Vegetables,1983,22.36
Honduras,Vegetables,1988,25.13
Honduras,Vegetables,1993,34.19
Honduras,Vegetables,1998,34.83
Honduras,Vegetables,2003,43.14
Honduras,Vegetables,2008,56.94
Honduras,Vegetables,2013,46.4
Hungary,Vegetables,1963,105.56
Hungary,Vegetables,1968,95.36
Hungary,Vegetables,1973,98.71
Hungary,Vegetables,1978,96.44
Hungary,Vegetables,1983,86.49
Hungary,Vegetables,1988,96.94
Hungary,Vegetables,1993,88.14
Hungary,Vegetables,1998,103.52
Hungary,Vegetables,2003,109
Hungary,Vegetables,2008,114.96
Hungary,Vegetables,2013,78.85
Iceland,Vegetables,1963,10.06
Iceland,Vegetables,1968,13.3
Iceland,Vegetables,1973,17.19
Iceland,Vegetables,1978,23.4
Iceland,Vegetables,1983,25.51
Iceland,Vegetables,1988,31.48
Iceland,Vegetables,1993,38.31
Iceland,Vegetables,1998,50.83
Iceland,Vegetables,2003,56.88
Iceland,Vegetables,2008,72.68
Iceland,Vegetables,2013,70.11
India,Vegetables,1963,38.51
India,Vegetables,1968,41.46
India,Vegetables,1973,45.09
India,Vegetables,1978,47.1
India,Vegetables,1983,50.09
India,Vegetables,1988,52.13
India,Vegetables,1993,53.24
India,Vegetables,1998,59.07
India,Vegetables,2003,66.31
India,Vegetables,2008,71.02
India,Vegetables,2013,88.71
Indonesia,Vegetables,1963,16.8
Indonesia,Vegetables,1968,16.88
Indonesia,Vegetables,1973,18.92
Indonesia,Vegetables,1978,15.77
Indonesia,Vegetables,1983,15.4
Indonesia,Vegetables,1988,20.71
Indonesia,Vegetables,1993,25.59
Indonesia,Vegetables,1998,34.57
Indonesia,Vegetables,2003,33.95
Indonesia,Vegetables,2008,37.73
Indonesia,Vegetables,2013,40.35
Iran,Vegetables,1963,63.26
Iran,Vegetables,1968,72.01
Iran,Vegetables,1973,85.14
Iran,Vegetables,1978,111.38
Iran,Vegetables,1983,134.19
Iran,Vegetables,1988,99.96
Iran,Vegetables,1993,133.07
Iran,Vegetables,1998,162.05
Iran,Vegetables,2003,171.8
Iran,Vegetables,2008,180.04
Iran,Vegetables,2013,253.37
Iraq,Vegetables,1963,131.46
Iraq,Vegetables,1968,168.6
Iraq,Vegetables,1973,145.13
Iraq,Vegetables,1978,148.38
Iraq,Vegetables,1983,156.86
Iraq,Vegetables,1988,159.41
Iraq,Vegetables,1993,146.82
Iraq,Vegetables,1998,134.74
Iraq,Vegetables,2003,95.26
Iraq,Vegetables,2008,127.85
Iraq,Vegetables,2013,114.75
Ireland,Vegetables,1963,38.43
Ireland,Vegetables,1968,35.83
Ireland,Vegetables,1973,46.09
Ireland,Vegetables,1978,76.59
Ireland,Vegetables,1983,56.72
Ireland,Vegetables,1988,69.47
Ireland,Vegetables,1993,78.13
Ireland,Vegetables,1998,75.68
Ireland,Vegetables,2003,78.63
Ireland,Vegetables,2008,88.11
Ireland,Vegetables,2013,93.91
Israel,Vegetables,1963,159.54
Israel,Vegetables,1968,157.7
Israel,Vegetables,1973,160.93
Israel,Vegetables,1978,157.66
Israel,Vegetables,1983,168.68
Israel,Vegetables,1988,170.71
Israel,Vegetables,1993,198.29
Israel,Vegetables,1998,245.04
Israel,Vegetables,2003,224.95
Israel,Vegetables,2008,167.98
Israel,Vegetables,2013,174.25
Italy,Vegetables,1963,141.35
Italy,Vegetables,1968,154.68
Italy,Vegetables,1973,155.04
Italy,Vegetables,1978,155.9
Italy,Vegetables,1983,172.62
Italy,Vegetables,1988,175.65
Italy,Vegetables,1993,161.18
Italy,Vegetables,1998,174.38
Italy,Vegetables,2003,174.32
Italy,Vegetables,2008,153.34
Italy,Vegetables,2013,128.87
Jamaica,Vegetables,1963,18.99
Jamaica,Vegetables,1968,20.17
Jamaica,Vegetables,1973,32.63
Jamaica,Vegetables,1978,44.47
Jamaica,Vegetables,1983,50.56
Jamaica,Vegetables,1988,38.7
Jamaica,Vegetables,1993,68.74
Jamaica,Vegetables,1998,73.23
Jamaica,Vegetables,2003,77.62
Jamaica,Vegetables,2008,68.48
Jamaica,Vegetables,2013,101.45
Japan,Vegetables,1963,119.47
Japan,Vegetables,1968,137
Japan,Vegetables,1973,124.92
Japan,Vegetables,1978,125.88
Japan,Vegetables,1983,118.24
Japan,Vegetables,1988,119.61
Japan,Vegetables,1993,113.46
Japan,Vegetables,1998,110.26
Japan,Vegetables,2003,107.7
Japan,Vegetables,2008,102.88
Japan,Vegetables,2013,102.29
Jordan,Vegetables,1963,217.79
Jordan,Vegetables,1968,102.14
Jordan,Vegetables,1973,58.7
Jordan,Vegetables,1978,114.22
Jordan,Vegetables,1983,83.84
Jordan,Vegetables,1988,122.93
Jordan,Vegetables,1993,81.27
Jordan,Vegetables,1998,64
Jordan,Vegetables,2003,114.14
Jordan,Vegetables,2008,96.86
Jordan,Vegetables,2013,116.53
Kazakhstan,Vegetables,1993,51.53
Kazakhstan,Vegetables,1998,70.29
Kazakhstan,Vegetables,2003,147.55
Kazakhstan,Vegetables,2008,166.53
Kazakhstan,Vegetables,2013,197.19
Kenya,Vegetables,1963,28.46
Kenya,Vegetables,1968,25.73
Kenya,Vegetables,1973,24.77
Kenya,Vegetables,1978,24.73
Kenya,Vegetables,1983,22.33
Kenya,Vegetables,1988,24.94
Kenya,Vegetables,1993,48.51
Kenya,Vegetables,1998,48.68
Kenya,Vegetables,2003,49.17
Kenya,Vegetables,2008,43.3
Kenya,Vegetables,2013,50.19
Kuwait,Vegetables,1963,131.02
Kuwait,Vegetables,1968,147.84
Kuwait,Vegetables,1973,136.62
Kuwait,Vegetables,1978,150.27
Kuwait,Vegetables,1983,188.92
Kuwait,Vegetables,1988,197.57
Kuwait,Vegetables,1993,156.13
Kuwait,Vegetables,1998,226.51
Kuwait,Vegetables,2003,170.79
Kuwait,Vegetables,2008,164.61
Kuwait,Vegetables,2013,223.33
Kyrgyzstan,Vegetables,1993,50.29
Kyrgyzstan,Vegetables,1998,90.82
Kyrgyzstan,Vegetables,2003,132.64
Kyrgyzstan,Vegetables,2008,147.97
Kyrgyzstan,Vegetables,2013,151.23
Laos,Vegetables,1963,21.81
Laos,Vegetables,1968,18.7
Laos,Vegetables,1973,13.69
Laos,Vegetables,1978,14.18
Laos,Vegetables,1983,13.1
Laos,Vegetables,1988,16.84
Laos,Vegetables,1993,27.1
Laos,Vegetables,1998,22.94
Laos,Vegetables,2003,126.05
Laos,Vegetables,2008,95.76
Laos,Vegetables,2013,210.43
Latvia,Vegetables,1993,80.12
Latvia,Vegetables,1998,71.71
Latvia,Vegetables,2003,112.85
Latvia,Vegetables,2008,105.93
Latvia,Vegetables,2013,113.04
Lebanon,Vegetables,1963,113.81
Lebanon,Vegetables,1968,115.31
Lebanon,Vegetables,1973,92.61
Lebanon,Vegetables,1978,119.37
Lebanon,Vegetables,1983,152.68
Lebanon,Vegetables,1988,214.14
Lebanon,Vegetables,1993,290.44
Lebanon,Vegetables,1998,284.17
Lebanon,Vegetables,2003,205.53
Lebanon,Vegetables,2008,192.16
Lebanon,Vegetables,2013,192.29
Lesotho,Vegetables,1963,15.33
Lesotho,Vegetables,1968,15.89
Lesotho,Vegetables,1973,17.62
Lesotho,Vegetables,1978,21.06
Lesotho,Vegetables,1983,23.67
Lesotho,Vegetables,1988,24.77
Lesotho,Vegetables,1993,25.22
Lesotho,Vegetables,1998,22.21
Lesotho,Vegetables,2003,21.85
Lesotho,Vegetables,2008,22.83
Lesotho,Vegetables,2013,18.51
Liberia,Vegetables,1963,37.33
Liberia,Vegetables,1968,35.14
Liberia,Vegetables,1973,33.6
Liberia,Vegetables,1978,32.91
Liberia,Vegetables,1983,33
Liberia,Vegetables,1988,35.37
Liberia,Vegetables,1993,45.88
Liberia,Vegetables,1998,39.12
Liberia,Vegetables,2003,38.87
Liberia,Vegetables,2008,27.02
Liberia,Vegetables,2013,27.06
Lithuania,Vegetables,1993,72.46
Lithuania,Vegetables,1998,90.72
Lithuania,Vegetables,2003,117.73
Lithuania,Vegetables,2008,100.07
Lithuania,Vegetables,2013,108.99
Luxembourg,Vegetables,2003,91.7
Luxembourg,Vegetables,2008,88.96
Luxembourg,Vegetables,2013,107.44
Madagascar,Vegetables,1963,35.5
Madagascar,Vegetables,1968,33.43
Madagascar,Vegetables,1973,32.85
Madagascar,Vegetables,1978,32.66
